BANNERS,,,,,,,,,,,,
90% CONFIDENCE LEVEL,,Brand worn,,ACUVUE OASYS 1-Day Lens Wearers,,,,Bausch & Lomb Infuse Lens Wearers,,,,
,Total,Current ACUVUE OASYS 1-Day Lens Wearers,Current Bausch & Lomb Infuse Lens Wearers,"1-9 hours/day, Current ACUVUE OASYS 1-Day Lens Wearers","10+ hours/day, Current ACUVUE OASYS 1-Day Lens Wearers","Female, Current ACUVUE OASYS 1-Day Lens Wearers","Male, Current ACUVUE OASYS 1-Day Lens Wearers","1-9 hours/day, Current B&L Infuse Lens Wearers","10+ hours/day, Current B&L Infuse Lens Wearers","Female, Current B&L Infuse Lens Wearers","Male, Current B&L Infuse Lens Wearers",
Banner 1 - INFUSE Claims Test,,(A),(B),(C),(D),(E),(F),(G),(H),(I),(J),
,,,,,,,,,,,,
"A/B, C/D, E/F, G/H, I/J",,,,,,,,,,,,
,,,,,,,,,,,,
(A) S7 =2,,,,,,,,,,,,
(B) S7 = 10,,,,,,,,,,,,
"(C) Q1 = 1-9, Current ACUVUE OASYS 1-Day Lens Wearers (S7=2)",,,,,,,,,,,,
"(D) Q1 = 10+, Current ACUVUE OASYS 1-Day Lens Wearers (S7=2)",,,,,,,,,,,,
"(E)  S1 = 3, Female, Current ACUVUE OASYS 1-Day Lens Wearers (S7=2)",,,,,,,,,,,,
"(F)  S1 = 4, Male, Current ACUVUE OASYS 1-Day Lens Wearers (S7=2)",,,,,,,,,,,,
"(G) Q1 = 1-9, Current B&L Infuse Lens Wearers (S7=10)",,,,,,,,,,,,
"(H) Q1 = 10+, Current B&L Infuse Lens Wearers (S7=10)",,,,,,,,,,,,
"(I)  S1 = 3, Female, Current B&L Infuse Lens Wearers (S7=10)",,,,,,,,,,,,
"(J)  S1 = 4, Male, Current B&L Infuse Lens Wearers (S7=10)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
